test_batch,output,configuration,features,learned_kernel
250,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.78**2 * RBF(length_scale=[0.823, 2.39, 5.91, 1.99, 20, 3.76]) + WhiteKernel(noise_level=0.000345)"
250,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","0.979**2 * RBF(length_scale=[0.844, 20, 20, 0.601, 20, 2.91, 1.53]) + WhiteKernel(noise_level=8.54e-05)"
250,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","2.03**2 * RBF(length_scale=[0.834, 6.16, 6.55, 2.15, 12.9, 4.37, 7.16]) + WhiteKernel(noise_level=0.000347)"
257,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.14**2 * RBF(length_scale=[0.776, 1.01, 20, 20, 20, 3.16]) + WhiteKernel(noise_level=0.000126)"
257,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.42**2 * RBF(length_scale=[0.805, 2.23, 11.8, 20, 20, 3.06]) + WhiteKernel(noise_level=0.000239)"
257,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.11**2 * RBF(length_scale=[0.779, 0.983, 20, 20, 20, 3.05, 20]) + WhiteKernel(noise_level=0.000128)"
257,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.33**2 * RBF(length_scale=[0.798, 2.18, 10.7, 20, 20, 2.92, 20]) + WhiteKernel(noise_level=0.000236)"
314,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.84**2 * RBF(length_scale=[0.919, 2.42, 20, 2.04, 20, 4.85]) + WhiteKernel(noise_level=0.000141)"
314,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.85**2 * RBF(length_scale=[0.831, 4.9, 8.71, 3.78, 20, 4.49]) + WhiteKernel(noise_level=0.000483)"
314,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.73**2 * RBF(length_scale=[0.915, 2.38, 20, 2, 20, 4.4, 20]) + WhiteKernel(noise_level=0.000141)"
