batch_id,settling_time,n_samples,input_distance,state_distance
334,426.0,44,0.03999999999999998,26.75506652440474
335,838.0,85,0.1767059704707229,68.05037099693082
336,526.0,54,0.08499999999999999,2.5201074701874546
337,692.0,71,0.1644878414959598,40.62792168799384
338,974.0,99,0.6199243905509768,10.444513011796907
339,1055.0,107,0.9859513172565876,10.381186185531908
340,614.0,63,0.7595393340703297,325.54400125030674
341,1060.0,107,0.9368330961275867,445.3299079023642
342,460.0,47,0.0548292804986532,18.535378403135642
343,727.0,74,0.24648782931414692,35.748924832726416
344,958.0,97,0.52,253.3730255519808
345,1050.0,106,0.7926064597263891,282.84625569877
346,1096.0,111,0.822439207479799,240.8081385523513
347,895.0,91,0.20348525745124627,93.1134059090279
348,827.0,84,0.6799999999999999,36.509649423433615
349,370.0,38,0.08499999999999996,56.52453052645653
350,1028.0,104,0.743236167042482,152.09998953373372
351,1048.0,106,0.7765468434035387,131.0232274893968
352,1028.0,104,0.6892432444355187,267.980992502983
353,738.0,75,0.16433578429544787,47.91912778310514
354,1099.0,111,1.0941777734902132,466.92095292318567
355,874.0,89,0.3391994251174374,312.0438624432072
356,958.0,97,0.7683749084919419,244.92841415294555
357,675.0,69,0.22261233119483737,40.02482459912222
358,432.0,45,0.19171919570037832,50.764591835885035
359,950.0,96,0.7972609359550987,472.43508900023915
360,1027.0,104,0.8590838143045182,470.81168166830724
361,4.0,2,0.07499999999999996,20.63037482413682
362,599.0,61,0.08000000000000007,9.604422653554641
363,461.0,48,0.2655301301170923,67.26963839967212
364,681.0,70,0.14150971698084908,45.42342371117313
365,600.0,61,0.13804437692278523,10.64980003742791
366,681.0,70,0.12,30.985613749249705
367,681.0,70,0.12572290960680158,19.963116871090723
368,681.0,70,0.16448784149595977,1.8210715744709123
369,1049.0,106,0.8606719758421323,290.9396001137301
370,1088.0,110,0.938912269597112,379.88772446465117
371,889.0,90,0.4386342439892262,47.18884442638847
372,573.0,59,0.5310602602341847,140.53429220363597
373,996.0,101,0.85,80.79851267917111
374,776.0,79,0.28250000000000003,251.17487670244466
375,438.0,45,0.22852789764052875,25.079042265592168
376,1070.0,108,0.8408366369277686,306.36778748576756
377,1072.0,109,0.8408366369277686,306.36778748576756
378,1079.0,109,0.9425000000000001,186.51923047644308
379,1114.0,113,0.8277831841732473,69.8548504353468
380,901.0,92,0.7810609771330277,68.14971205326555
381,928.0,94,0.8005623023850174,103.54335679556435
382,846.0,86,0.2650589557060844,119.43222415990259
383,68.0,8,0.1499999999999999,39.74369060329297
384,258.0,27,0.6375000000000001,166.71756791137642
385,661.0,68,0.1644878414959598,31.389731396899947
386,0.0,1,0.03750000000000003,10.104880490031412
387,965.0,98,0.6410976914636335,343.1956706119711
388,769.0,78,0.2650589557060844,243.2024477587326
389,890.0,90,0.24,110.20578994371193
390,782.0,80,0.2294694968835727,37.15588535453663
391,1009.0,102,0.6408002808988148,185.23570601681755
392,981.0,100,0.7683749084919418,89.74747428182833
393,595.0,61,0.6797242087788253,180.0576634669877
394,980.0,99,0.6549093448714869,360.22763192745003
395,897.0,91,0.28250000000000003,207.77822330849867
396,922.0,94,0.6020797289396148,62.19411678198643
397,1012.0,103,0.9869270489757589,131.02256193475446
398,930.0,94,0.3286715685908959,271.76153114292384
399,691.0,71,0.2038535013189619,12.944065341128079
400,958.0,97,0.48146261537112106,17.509013559680753
401,1083.0,110,0.9207639491205116,314.4436944412811
402,1079.0,109,0.9083088681720553,271.0052761246899
403,1074.0,109,0.8216789214772399,309.24817878545565
404,1028.0,104,0.8366936416634227,418.71183178632214
405,1023.0,104,0.6810332223908023,290.5059084711426
406,901.0,92,0.28,215.00630610234046
407,800.0,81,0.17670597047072292,40.2304871021207
408,782.0,80,0.19999999999999996,9.094770101475468
409,1002.0,102,0.6669004798318862,232.20127227713056
410,1070.0,108,1.054517069563125,60.89051853266161
411,1112.0,113,0.8485281374238571,119.45158790619158
412,874.0,89,0.7649999999999999,86.38538145860825
413,202.0,22,0.825,222.92362870093237
414,983.0,100,0.9971083190907596,480.16961682842975
415,1002.0,102,0.9031195934094222,436.9065072305173
416,989.0,100,0.7440136087465067,417.07412397614644
417,426.0,44,0.2655301301170924,116.0090214426178
418,1050.0,106,0.9682974749528164,143.01247660844896
419,1041.0,106,0.9372299611087986,104.6142831373222
420,391.0,41,0.03999999999999998,36.85117110781559
421,597.0,61,0.1415097169808491,78.41702226780008
422,1039.0,105,0.8118035476640885,12.805396095534078
423,839.0,85,0.33698108255508935,110.79316260526043
424,738.0,75,0.5130850319391513,162.3757177758007
425,1046.0,106,0.9905680188659434,195.59943949067167
426,1038.0,105,0.7951768671182531,457.6901568951543
427,581.0,60,0.1699999999999999,38.536279786418646
428,94.0,11,0.2250000000000001,60.28437996804948
429,948.0,96,0.6955258801798824,407.6473954151278
430,621.0,64,0.17670597047072292,165.89068928832316
431,1039.0,105,0.9869270489757589,284.7696809769972
432,1104.0,112,0.9567163895324464,350.71190832849976
433,437.0,45,0.2655301301170924,116.54865986350603
434,710.0,72,0.2650589557060844,253.23827251668678
435,25.0,4,0.1125000000000001,30.37496930654765
436,614.0,63,0.10965856099730653,74.76133873130375
437,974.0,99,0.5527714265408443,20.692203351187395
438,1048.0,106,0.8532877591996735,389.64701651833695
439,33.0,5,0.07499999999999996,21.797802657594403
440,75.0,9,0.22499999999999998,65.4053956945803
441,1088.0,110,1.0783349433269795,488.8633795112105
442,1091.0,111,0.9905680188659434,396.3485610155306
443,620.0,63,0.16433578429544796,154.57752263285423
444,494.0,51,0.13804437692278523,36.69949743953354
445,1028.0,104,0.7162576352123584,126.58418217582981
446,778.0,79,0.20348525745124627,42.06879238044108
447,963.0,98,0.7394634879424407,64.53334797061756
448,484.0,50,0.2038535013189619,13.519236992000867
449,884.0,90,0.22946949688357277,85.72788215794739
450,723.0,74,0.1415097169808491,10.539917800178765
451,881.0,90,0.5253808142671371,350.36479694839045
452,620.0,63,0.19209372712298542,74.045223570608
453,846.0,86,0.7762087348130012,347.0744593950293
454,715.0,73,0.7668767828015136,311.45790460317687
455,697.0,71,0.27608875384557047,88.0516850196205
456,651.0,67,0.3074186884364709,77.79044587573283
457,636.0,65,0.796590390351277,111.51835979932034
458,1050.0,106,0.9919708917100339,84.4676696492418
459,1067.0,108,0.9372299611087985,58.461899495130396
460,934.0,95,0.3017552816439175,223.3503790767679
461,767.0,78,0.7470107094279171,420.24656733743916
462,441.0,46,0.22852789764052878,24.763777480198694
463,540.0,55,0.08835298523536146,87.7858104203183
464,1050.0,106,0.7746612162745725,175.33939154918073
465,1098.0,111,0.7614172640543423,5.327364662945187
466,816.0,83,0.21931712199461312,56.48078212115546
467,758.0,77,0.53,324.0132216340611
468,1050.0,106,0.8474815632212892,324.364642246528
469,461.0,48,0.22852789764052878,54.84833346478048
470,780.0,79,0.7762087348130012,169.28218781970065
471,698.0,71,0.32310988842807026,86.4941754871705
472,857.0,87,0.16433578429544793,23.839605560849265
473,763.0,78,0.5618051263561058,175.3560543989867
474,420.0,43,0.751065909225016,202.7486348265005
475,738.0,75,0.1955920499406864,3.452091739264593
476,681.0,70,0.6855836929215864,163.9425536419999
477,846.0,86,0.31764760348537174,5.79350945861738
478,599.0,61,0.7169771614214779,204.15231807279818
479,681.0,70,0.255,35.3013843715057
480,1098.0,111,0.8772684879784524,49.68076572223768
481,818.0,83,0.1955920499406865,65.20147051127836
482,553.0,57,0.15524174696260015,55.81484852396954
483,900.0,91,0.7982833143690277,172.06836010053902
484,461.0,48,0.11939953936259554,23.301769288604238
485,904.0,92,0.26505895570608434,33.42339857392734
486,617.0,63,0.08835298523536142,19.607618830218005
487,910.0,92,0.5612541759310126,323.4997484981377
488,762.0,78,0.24000000000000005,212.46471479885227
489,485.0,50,0.6425,112.35723851275286
490,845.0,86,0.9219544457292886,108.81866434431527
491,958.0,97,0.8591020020928831,209.0894251982199
492,461.0,48,0.2655301301170925,86.43755830044769
493,783.0,80,0.21360009363293833,20.638084497897655
494,441.0,46,0.05482928049865324,6.603527404119905
495,738.0,75,0.15999999999999992,25.44104554424214
496,770.0,78,0.2741464024932664,76.9293202596774
497,966.0,98,0.5028916384272064,257.566774662945
498,1016.0,103,0.6669004798318863,252.71790730383447
499,1064.0,108,0.6538396210080879,44.37014309652453
500,386.0,40,0.15524174696260015,12.531551216672106
501,643.0,66,0.10965856099730656,28.26218335348658
502,473.0,49,0.05482928049865332,12.762213997823936
503,421.0,44,0.11939953936259547,4.636541529800404
504,618.0,63,0.6937038272923107,315.83935226799974
505,658.0,67,0.16448784149595982,153.27089983235933
506,441.0,46,0.1917191957003784,95.67044829055098
507,1011.0,103,0.8277831841732474,475.0749533110431
508,946.0,96,0.7163972361755733,212.12879141820903
509,847.0,86,0.28987066081271484,5.014339123632452
510,988.0,100,0.8366936416634226,191.94690178548169
511,1088.0,110,1.0411802197506441,128.2017136995545
512,925.0,94,0.37716872882040475,101.2023176278052
513,451.0,47,0.08500000000000003,20.162944076682436
514,933.0,95,0.8520600037556041,213.63751320815607
