test_batch,output,observed_anchor_count,learned_kernel
65,T,12,"1.88**2 * RBF(length_scale=[0.761, 3.2, 7.03, 9.48, 20, 4.01]) + WhiteKernel(noise_level=0.000191)"
165,Cb,3,"1.16**2 * RBF(length_scale=[0.945, 1.09, 20, 1.19, 20, 2.7]) + WhiteKernel(noise_level=0.000119)"
165,T,3,"2.5**2 * RBF(length_scale=[0.891, 2.92, 20, 2.31, 11.1, 6.62]) + WhiteKernel(noise_level=0.000364)"
165,Cb,4,"1.12**2 * RBF(length_scale=[0.942, 1.01, 20, 1.15, 20, 2.62]) + WhiteKernel(noise_level=0.00012)"
165,T,4,"2.19**2 * RBF(length_scale=[0.851, 20, 5.41, 2.46, 6.68, 4.19]) + WhiteKernel(noise_level=0.000309)"
165,Cb,5,"1.29**2 * RBF(length_scale=[0.964, 1.24, 20, 1.24, 20, 3.01]) + WhiteKernel(noise_level=0.000144)"
165,T,5,"2.55**2 * RBF(length_scale=[0.897, 3, 19.9, 2.28, 11.7, 7.35]) + WhiteKernel(noise_level=0.00036)"
165,Cb,6,"1.25**2 * RBF(length_scale=[0.971, 1.23, 20, 1.22, 20, 2.96]) + WhiteKernel(noise_level=0.000149)"
165,T,6,"2.21**2 * RBF(length_scale=[0.871, 20, 4.24, 2.4, 16.4, 4.66]) + WhiteKernel(noise_level=0.000326)"
165,Cb,7,"1.26**2 * RBF(length_scale=[0.963, 1.14, 20, 1.35, 20, 3.13]) + WhiteKernel(noise_level=0.000159)"
165,T,7,"2.34**2 * RBF(length_scale=[0.877, 20, 20, 2.31, 4.69, 4.63]) + WhiteKernel(noise_level=0.000308)"
165,Cb,8,"1.3**2 * RBF(length_scale=[0.933, 1.03, 20, 1.56, 20, 3.37]) + WhiteKernel(noise_level=0.000135)"
165,T,8,"2.22**2 * RBF(length_scale=[0.866, 20, 3.96, 2.3, 20, 5.52]) + WhiteKernel(noise_level=0.0003)"
165,Cb,9,"2.12**2 * RBF(length_scale=[1.01, 13, 20, 1.54, 2.51, 3.51]) + WhiteKernel(noise_level=0.00014)"
165,T,9,"2.28**2 * RBF(length_scale=[0.876, 20, 3.95, 2.28, 20, 5.73]) + WhiteKernel(noise_level=0.0003)"
165,Cb,10,"1.63**2 * RBF(length_scale=[0.967, 5.97, 20, 1.44, 2.23, 3.13]) + WhiteKernel(noise_level=0.000199)"
165,T,10,"2.07**2 * RBF(length_scale=[0.837, 20, 20, 2.12, 4.43, 3.64]) + WhiteKernel(noise_level=0.000365)"
165,Cb,11,"1.35**2 * RBF(length_scale=[0.878, 20, 3.46, 1.52, 1.88, 2.68]) + WhiteKernel(noise_level=0.000167)"
165,T,11,"1.99**2 * RBF(length_scale=[0.828, 20, 5.37, 2.14, 6.16, 3.74]) + WhiteKernel(noise_level=0.000359)"
165,Cb,12,"1.11**2 * RBF(length_scale=[0.86, 0.79, 20, 1.49, 20, 2.93]) + WhiteKernel(noise_level=0.000213)"
