test_batch,output,configuration,features,learned_kernel
65,T,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","1.86**2 * RBF(length_scale=[0.815, 3.94, 3.48, 2.89, 3.22]) + WhiteKernel(noise_level=0.000235)"
165,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.3**2 * RBF(length_scale=[0.933, 1.03, 20, 1.56, 20, 3.37]) + WhiteKernel(noise_level=0.000135)"
165,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.22**2 * RBF(length_scale=[0.866, 20, 3.96, 2.3, 20, 5.52]) + WhiteKernel(noise_level=0.0003)"
165,Cb,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","0.902**2 * RBF(length_scale=[1.11, 20, 1.01, 20, 2.07]) + WhiteKernel(noise_level=0.01)"
165,T,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.57**2 * RBF(length_scale=[1.51, 6.97, 2.51, 20, 16.8]) + WhiteKernel(noise_level=0.01)"
165,Cb,without_u1_frac_A,"anchor_index,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.48**2 * RBF(length_scale=[0.999, 20, 0.665, 20, 2.71]) + WhiteKernel(noise_level=0.000149)"
165,T,without_u1_frac_A,"anchor_index,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.46**2 * RBF(length_scale=[0.873, 4.25, 2.43, 13.7, 6.15]) + WhiteKernel(noise_level=0.0003)"
165,Cb,without_u1_Tc_scaled,"anchor_index,u1_frac_A,delta_frac_A,delta_Tc_scaled,Cb_0","1.37**2 * RBF(length_scale=[0.933, 1.09, 1.67, 20, 3.66]) + WhiteKernel(noise_level=0.000134)"
165,T,without_u1_Tc_scaled,"anchor_index,u1_frac_A,delta_frac_A,delta_Tc_scaled,T_0","2.42**2 * RBF(length_scale=[0.878, 20, 2.31, 4.46, 5.02]) + WhiteKernel(noise_level=0.000299)"
165,Cb,without_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_Tc_scaled,Cb_0","0.928**2 * RBF(length_scale=[0.873, 0.553, 0.339, 0.242, 2.53]) + WhiteKernel(noise_level=0.000141)"
