test_batch,output,strategy,learned_kernel
257,T,unrestricted,"3.73**2 * RBF(length_scale=[0.711, 4.74, 16.1, 6.37, 20, 15.8]) + WhiteKernel(noise_level=5.38e-05)"
257,Cb,same_delta_frac_A,"1.66**2 * RBF(length_scale=[0.592, 2.35, 20, 5.74, 20, 10]) + WhiteKernel(noise_level=1.62e-07)"
257,T,same_delta_frac_A,"2.65**2 * RBF(length_scale=[0.506, 3.34, 12.3, 6.56, 20, 12.3]) + WhiteKernel(noise_level=1.07e-07)"
257,Cb,same_delta_Tc,"1.75**2 * RBF(length_scale=[1.21, 2.4, 20, 6.65, 20, 4.89]) + WhiteKernel(noise_level=1.81e-05)"
257,T,same_delta_Tc,"3.13**2 * RBF(length_scale=[0.732, 3.52, 15.6, 6.1, 20, 16.4]) + WhiteKernel(noise_level=3.54e-05)"
257,Cb,same_both,"1.67**2 * RBF(length_scale=[0.557, 2.08, 20, 5.23, 20, 8.64]) + WhiteKernel(noise_level=6.7e-07)"
257,T,same_both,"2.05**2 * RBF(length_scale=[0.504, 2.68, 12, 3.25, 20, 12.7]) + WhiteKernel(noise_level=1.06e-06)"
314,Cb,unrestricted,"2.95**2 * RBF(length_scale=[1.33, 5.39, 20, 15.6, 20, 9.06]) + WhiteKernel(noise_level=4e-05)"
314,T,unrestricted,"2.2**2 * RBF(length_scale=[0.453, 6.35, 20, 8.43, 20, 20]) + WhiteKernel(noise_level=1e-08)"
314,Cb,same_delta_frac_A,"2.95**2 * RBF(length_scale=[1.33, 5.39, 20, 15.6, 20, 9.06]) + WhiteKernel(noise_level=4e-05)"
314,T,same_delta_frac_A,"2.2**2 * RBF(length_scale=[0.453, 6.35, 20, 8.43, 20, 20]) + WhiteKernel(noise_level=1e-08)"
314,Cb,same_delta_Tc,"2.95**2 * RBF(length_scale=[1.33, 5.39, 20, 15.6, 20, 9.06]) + WhiteKernel(noise_level=4e-05)"
314,T,same_delta_Tc,"2.2**2 * RBF(length_scale=[0.453, 6.35, 20, 8.43, 20, 20]) + WhiteKernel(noise_level=1e-08)"
314,Cb,same_both,"2.95**2 * RBF(length_scale=[1.33, 5.39, 20, 15.6, 20, 9.06]) + WhiteKernel(noise_level=4e-05)"
314,T,same_both,"2.2**2 * RBF(length_scale=[0.453, 6.35, 20, 8.43, 20, 20]) + WhiteKernel(noise_level=1e-08)"
332,Cb,unrestricted,"3.2**2 * RBF(length_scale=[1.33, 3.77, 20, 20, 20, 11.2]) + WhiteKernel(noise_level=3.45e-05)"
332,T,unrestricted,"3.88**2 * RBF(length_scale=[0.462, 6.2, 17, 10.5, 20, 20]) + WhiteKernel(noise_level=1e-08)"
332,Cb,same_delta_frac_A,"3.2**2 * RBF(length_scale=[1.33, 3.77, 20, 20, 20, 11.2]) + WhiteKernel(noise_level=3.45e-05)"
332,T,same_delta_frac_A,"3.88**2 * RBF(length_scale=[0.462, 6.2, 17, 10.5, 20, 20]) + WhiteKernel(noise_level=1e-08)"
332,Cb,same_delta_Tc,"3.16**2 * RBF(length_scale=[1.31, 4.22, 20, 20, 20, 11.1]) + WhiteKernel(noise_level=3.13e-05)"
332,T,same_delta_Tc,"3.56**2 * RBF(length_scale=[0.46, 6.66, 18.7, 10.2, 20, 20]) + WhiteKernel(noise_level=1e-08)"
332,Cb,same_both,"3.16**2 * RBF(length_scale=[1.31, 4.22, 20, 20, 20, 11.1]) + WhiteKernel(noise_level=3.13e-05)"
332,T,same_both,"3.56**2 * RBF(length_scale=[0.46, 6.66, 18.7, 10.2, 20, 20]) + WhiteKernel(noise_level=1e-08)"
401,Cb,unrestricted,"3.33**2 * RBF(length_scale=[1.27, 10.6, 20, 20, 20, 12.3]) + WhiteKernel(noise_level=3e-05)"
401,T,unrestricted,"2.98**2 * RBF(length_scale=[0.474, 16.2, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
401,Cb,same_delta_frac_A,"3.33**2 * RBF(length_scale=[1.27, 10.6, 20, 20, 20, 12.3]) + WhiteKernel(noise_level=3e-05)"
401,T,same_delta_frac_A,"2.98**2 * RBF(length_scale=[0.474, 16.2, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
401,Cb,same_delta_Tc,"3.02**2 * RBF(length_scale=[1.28, 3.72, 20, 20, 20, 10.5]) + WhiteKernel(noise_level=3.21e-05)"
401,T,same_delta_Tc,"3.29**2 * RBF(length_scale=[0.478, 5.79, 20, 19.4, 20, 20]) + WhiteKernel(noise_level=1e-08)"
401,Cb,same_both,"3.02**2 * RBF(length_scale=[1.28, 3.72, 20, 20, 20, 10.5]) + WhiteKernel(noise_level=3.21e-05)"
401,T,same_both,"3.29**2 * RBF(length_scale=[0.478, 5.79, 20, 19.4, 20, 20]) + WhiteKernel(noise_level=1e-08)"
424,Cb,unrestricted,"1.36**2 * RBF(length_scale=[0.553, 3.11, 20, 4.89, 20, 6.45]) + WhiteKernel(noise_level=1.28e-06)"
424,T,unrestricted,"3.33**2 * RBF(length_scale=[0.503, 5.06, 10, 4.68, 20, 16.1]) + WhiteKernel(noise_level=6.27e-06)"
424,Cb,same_delta_frac_A,"1.11**2 * RBF(length_scale=[0.523, 2.64, 20, 4.88, 20, 7]) + WhiteKernel(noise_level=2.96e-07)"
424,T,same_delta_frac_A,"2.84**2 * RBF(length_scale=[0.477, 3.8, 11, 5.26, 15.5, 14.5]) + WhiteKernel(noise_level=2.4e-06)"
424,Cb,same_delta_Tc,"1.7**2 * RBF(length_scale=[0.565, 3.52, 20, 6.09, 20, 7.66]) + WhiteKernel(noise_level=2.04e-06)"
424,T,same_delta_Tc,"3.65**2 * RBF(length_scale=[0.51, 5.11, 14.3, 4.29, 19.2, 16.8]) + WhiteKernel(noise_level=7.69e-06)"
424,Cb,same_both,"1.24**2 * RBF(length_scale=[0.523, 2.3, 20, 4.73, 20, 8.2]) + WhiteKernel(noise_level=3.77e-07)"
424,T,same_both,"2.43**2 * RBF(length_scale=[0.483, 3.21, 9.52, 4.74, 18.8, 12.9]) + WhiteKernel(noise_level=3.99e-06)"
496,Cb,unrestricted,"1.13**2 * RBF(length_scale=[0.601, 5.47, 20, 2.56, 20, 6.69]) + WhiteKernel(noise_level=4.51e-08)"
496,T,unrestricted,"2.46**2 * RBF(length_scale=[0.503, 2.75, 20, 7.44, 20, 8.99]) + WhiteKernel(noise_level=1.11e-08)"
496,Cb,same_delta_frac_A,"2**2 * RBF(length_scale=[1.35, 5.3, 20, 17.2, 20, 10]) + WhiteKernel(noise_level=1.62e-05)"
496,T,same_delta_frac_A,"4.23**2 * RBF(length_scale=[0.515, 7.28, 20, 13.3, 20, 20]) + WhiteKernel(noise_level=1e-08)"
496,Cb,same_delta_Tc,"1.9**2 * RBF(length_scale=[1.33, 4.44, 20, 12.3, 20, 9.19]) + WhiteKernel(noise_level=1.98e-05)"
496,T,same_delta_Tc,"3.47**2 * RBF(length_scale=[0.8, 3.72, 20, 9.2, 20, 14.5]) + WhiteKernel(noise_level=3.02e-05)"
496,Cb,same_both,"2.2**2 * RBF(length_scale=[1.38, 3.82, 20, 12.3, 20, 9.45]) + WhiteKernel(noise_level=1.71e-05)"
496,T,same_both,"4.04**2 * RBF(length_scale=[0.516, 5.9, 20, 8.44, 20, 20]) + WhiteKernel(noise_level=1e-08)"
569,Cb,unrestricted,"1.36**2 * RBF(length_scale=[0.398, 6.2, 20, 12, 20, 7.56]) + WhiteKernel(noise_level=3.53e-08)"
569,T,unrestricted,"2.66**2 * RBF(length_scale=[0.354, 8.98, 19.6, 14.8, 20, 15.1]) + WhiteKernel(noise_level=9.46e-07)"
