test_batch,output,time_representation,features,learned_kernel
232,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.8**2 * RBF(length_scale=[0.2, 0.475, 20, 1.18, 14.3, 20]) + WhiteKernel(noise_level=0.000136)"
234,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.31**2 * RBF(length_scale=[0.839, 1.94, 20, 1.89, 20, 3.6]) + WhiteKernel(noise_level=0.000123)"
234,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.29**2 * RBF(length_scale=[0.74, 20, 7.72, 2.01, 20, 3.86]) + WhiteKernel(noise_level=0.000644)"
234,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","4.35**2 * RBF(length_scale=[0.857, 4.37, 20, 1.69, 20, 9.09]) + WhiteKernel(noise_level=7.38e-05)"
234,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","3.36**2 * RBF(length_scale=[0.2, 20, 6.99, 2.41, 20, 4.14]) + WhiteKernel(noise_level=0.000171)"
250,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.01**2 * RBF(length_scale=[0.87, 0.77, 20, 1.07, 20, 2.52]) + WhiteKernel(noise_level=9.75e-05)"
250,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.78**2 * RBF(length_scale=[0.823, 2.39, 5.91, 1.99, 20, 3.76]) + WhiteKernel(noise_level=0.000345)"
250,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","3.99**2 * RBF(length_scale=[0.685, 2.28, 20, 1.54, 20, 10.2]) + WhiteKernel(noise_level=1.52e-05)"
250,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.27**2 * RBF(length_scale=[0.2, 2.38, 5.47, 1.94, 20, 4.55]) + WhiteKernel(noise_level=0.000251)"
257,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.14**2 * RBF(length_scale=[0.776, 1.01, 20, 20, 20, 3.16]) + WhiteKernel(noise_level=0.000126)"
257,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.42**2 * RBF(length_scale=[0.805, 2.23, 11.8, 20, 20, 3.06]) + WhiteKernel(noise_level=0.000239)"
257,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","3.26**2 * RBF(length_scale=[0.622, 1.64, 20, 16.6, 20, 3.3]) + WhiteKernel(noise_level=1.72e-05)"
