test_batch,output,strategy,learned_kernel
229,Cb,without_delta_frac_A,"2.39**2 * RBF(length_scale=[1.25, 2.17, 20, 3.25, 20, 10.1]) + WhiteKernel(noise_level=3.11e-05)"
229,T,without_delta_frac_A,"2.77**2 * RBF(length_scale=[0.57, 2.23, 19.7, 4.79, 20, 20]) + WhiteKernel(noise_level=1.94e-05)"
229,Cb,without_delta_Tc,"3.12**2 * RBF(length_scale=[1.31, 2.36, 20, 12.9, 20, 11.6]) + WhiteKernel(noise_level=2.92e-05)"
229,T,without_delta_Tc,"3.72**2 * RBF(length_scale=[0.487, 3.32, 13.8, 12, 20, 20]) + WhiteKernel(noise_level=7.46e-08)"
229,Cb,initial_only,"2.69**2 * RBF(length_scale=[1.25, 1.83, 20, 5.29, 20, 11.9]) + WhiteKernel(noise_level=2.72e-05)"
229,T,initial_only,"3.51**2 * RBF(length_scale=[0.532, 2.54, 12.4, 8.66, 20, 20]) + WhiteKernel(noise_level=1.89e-05)"
229,Cb,disturbance_only,"2.24**2 * RBF(length_scale=[1.43, 1.97, 20, 15, 20, 7.84]) + WhiteKernel(noise_level=2.39e-05)"
229,T,disturbance_only,"2.04**2 * RBF(length_scale=[0.522, 2.95, 14, 6.32, 20, 15.9]) + WhiteKernel(noise_level=3.97e-08)"
232,Cb,full,"1.59**2 * RBF(length_scale=[0.818, 2.14, 20, 9.55, 20, 7.94]) + WhiteKernel(noise_level=1.08e-05)"
232,T,full,"2.6**2 * RBF(length_scale=[0.527, 2.72, 14.7, 5.76, 20, 8.04]) + WhiteKernel(noise_level=9.76e-06)"
232,Cb,without_delta_frac_A,"1.66**2 * RBF(length_scale=[0.921, 1.89, 20, 4.09, 20, 8.53]) + WhiteKernel(noise_level=2.29e-05)"
232,T,without_delta_frac_A,"1.85**2 * RBF(length_scale=[0.487, 2.41, 15.5, 4.06, 20, 8.36]) + WhiteKernel(noise_level=2.22e-06)"
232,Cb,without_delta_Tc,"2.14**2 * RBF(length_scale=[0.573, 2.26, 20, 8.3, 20, 16]) + WhiteKernel(noise_level=3.37e-07)"
232,T,without_delta_Tc,"3.7**2 * RBF(length_scale=[0.512, 3.02, 13.2, 6.8, 20, 17.3]) + WhiteKernel(noise_level=6.49e-07)"
232,Cb,initial_only,"2.12**2 * RBF(length_scale=[0.527, 2.02, 20, 4.1, 20, 17.9]) + WhiteKernel(noise_level=1.12e-07)"
232,T,initial_only,"2.48**2 * RBF(length_scale=[0.474, 2.45, 11.6, 3.66, 20, 20]) + WhiteKernel(noise_level=1.18e-07)"
232,Cb,disturbance_only,"1.79**2 * RBF(length_scale=[1.12, 1.96, 20, 19.8, 20, 8.14]) + WhiteKernel(noise_level=2.05e-05)"
