test_batch,output,window_percent,learned_kernel
804,T,100,"3.36**2 * RBF(length_scale=[0.533, 4.27, 20, 4.82, 20, 19.6]) + WhiteKernel(noise_level=4.53e-06)"
811,Cb,50,"1.34**2 * RBF(length_scale=[0.478, 1.47, 20, 5.87, 20, 10.4]) + WhiteKernel(noise_level=5.01e-08)"
811,T,50,"2.08**2 * RBF(length_scale=[0.422, 1.97, 13.7, 5.37, 20, 20]) + WhiteKernel(noise_level=3.91e-07)"
811,Cb,70,"1.15**2 * RBF(length_scale=[0.431, 5.91, 20, 11.6, 20, 7.88]) + WhiteKernel(noise_level=1.72e-08)"
811,T,70,"2.23**2 * RBF(length_scale=[0.386, 7.99, 20, 14.1, 20, 17.5]) + WhiteKernel(noise_level=3.1e-07)"
811,Cb,100,"1.13**2 * RBF(length_scale=[0.398, 5.02, 20, 10.9, 20, 6.25]) + WhiteKernel(noise_level=1.58e-08)"
811,T,100,"1.62**2 * RBF(length_scale=[0.342, 5.91, 17.6, 11.6, 20, 7.69]) + WhiteKernel(noise_level=1.67e-07)"
826,Cb,50,"2.52**2 * RBF(length_scale=[1.27, 1.5, 20, 8.27, 20, 7.99]) + WhiteKernel(noise_level=5.72e-05)"
826,T,50,"2.43**2 * RBF(length_scale=[0.539, 2.28, 15.3, 4.07, 20, 14.4]) + WhiteKernel(noise_level=6.36e-06)"
826,Cb,70,"2.15**2 * RBF(length_scale=[1.17, 6.3, 20, 6.19, 20, 9.67]) + WhiteKernel(noise_level=3.03e-05)"
826,T,70,"5.65**2 * RBF(length_scale=[0.843, 10.7, 20, 7.98, 20, 20]) + WhiteKernel(noise_level=0.000175)"
826,Cb,100,"1.6**2 * RBF(length_scale=[1.4, 3.8, 20, 4.62, 20, 13.6]) + WhiteKernel(noise_level=1.05e-05)"
826,T,100,"4.49**2 * RBF(length_scale=[0.873, 5.33, 16, 9.95, 20, 20]) + WhiteKernel(noise_level=0.000178)"
840,Cb,50,"3.02**2 * RBF(length_scale=[1.67, 8.44, 20, 5.26, 20, 9.9]) + WhiteKernel(noise_level=7.51e-05)"
