test_batch,output,strategy,learned_kernel
204,T,nearest_transition,"2.41**2 * RBF(length_scale=[0.381, 4.13, 20, 8.83, 20, 11.2]) + WhiteKernel(noise_level=3.5e-06)"
207,Cb,recent,"1.91**2 * RBF(length_scale=[0.523, 1.8, 20, 2.94, 20, 9.15]) + WhiteKernel(noise_level=2.23e-06)"
207,T,recent,"1.82**2 * RBF(length_scale=[0.471, 2.5, 9.95, 2.76, 20, 6.9]) + WhiteKernel(noise_level=4.85e-06)"
207,Cb,random,"2.13**2 * RBF(length_scale=[0.529, 1.9, 20, 3.41, 20, 9.96]) + WhiteKernel(noise_level=3.02e-06)"
207,T,random,"2.61**2 * RBF(length_scale=[0.48, 2.88, 11.3, 2.78, 10.7, 15.9]) + WhiteKernel(noise_level=5.77e-06)"
207,Cb,nearest_initial,"2.99**2 * RBF(length_scale=[1.25, 1.87, 20, 6.5, 20, 12.5]) + WhiteKernel(noise_level=2.99e-05)"
207,T,nearest_initial,"2.04**2 * RBF(length_scale=[0.475, 2.45, 16.5, 5.38, 20, 20]) + WhiteKernel(noise_level=1e-08)"
207,Cb,nearest_target,"1.77**2 * RBF(length_scale=[1.27, 4.36, 20, 7.18, 20, 7.83]) + WhiteKernel(noise_level=2.38e-05)"
207,T,nearest_target,"2.72**2 * RBF(length_scale=[0.482, 7.47, 20, 5.42, 20, 10.1]) + WhiteKernel(noise_level=7.99e-08)"
207,Cb,nearest_transition,"2.58**2 * RBF(length_scale=[1.28, 3.47, 20, 13.5, 20, 10.9]) + WhiteKernel(noise_level=2.04e-05)"
207,T,nearest_transition,"2.64**2 * RBF(length_scale=[0.464, 5.31, 17.9, 10.1, 20, 20]) + WhiteKernel(noise_level=1e-08)"
229,Cb,recent,"1.87**2 * RBF(length_scale=[0.767, 1.66, 20, 2.92, 20, 7.82]) + WhiteKernel(noise_level=0.000124)"
229,T,recent,"2.82**2 * RBF(length_scale=[0.486, 3.02, 15.7, 1.91, 20, 13.4]) + WhiteKernel(noise_level=6.7e-06)"
229,Cb,random,"1.82**2 * RBF(length_scale=[0.527, 1.78, 20, 3.5, 20, 8.64]) + WhiteKernel(noise_level=3.85e-06)"
229,T,random,"2.13**2 * RBF(length_scale=[0.48, 2.34, 7.73, 3.26, 19.9, 7.98]) + WhiteKernel(noise_level=1.32e-05)"
229,Cb,nearest_initial,"2.69**2 * RBF(length_scale=[1.25, 1.83, 20, 5.29, 20, 11.9]) + WhiteKernel(noise_level=2.72e-05)"
229,T,nearest_initial,"3.51**2 * RBF(length_scale=[0.532, 2.54, 12.4, 8.66, 20, 20]) + WhiteKernel(noise_level=1.89e-05)"
229,Cb,nearest_target,"1.45**2 * RBF(length_scale=[0.513, 3.31, 20, 4.16, 20, 6.22]) + WhiteKernel(noise_level=3.62e-07)"
229,T,nearest_target,"2.58**2 * RBF(length_scale=[0.463, 4.49, 20, 3.94, 17.6, 7.04]) + WhiteKernel(noise_level=1.06e-06)"
229,Cb,nearest_transition,"1.98**2 * RBF(length_scale=[1.31, 1.92, 20, 3.59, 20, 8.56]) + WhiteKernel(noise_level=2.21e-05)"
229,T,nearest_transition,"3.05**2 * RBF(length_scale=[0.557, 2.52, 18.2, 6.39, 20, 20]) + WhiteKernel(noise_level=1.67e-05)"
232,Cb,recent,"1.68**2 * RBF(length_scale=[0.79, 1.61, 20, 2.75, 20, 6.95]) + WhiteKernel(noise_level=0.000119)"
232,T,recent,"2.24**2 * RBF(length_scale=[0.476, 2.71, 12.6, 2.42, 20, 7.43]) + WhiteKernel(noise_level=5.76e-06)"
232,Cb,random,"1.77**2 * RBF(length_scale=[0.795, 1.81, 20, 3.46, 20, 7.13]) + WhiteKernel(noise_level=4.88e-05)"
232,T,random,"2.61**2 * RBF(length_scale=[0.482, 3.05, 11.3, 2.57, 12.1, 11.3]) + WhiteKernel(noise_level=6.67e-06)"
232,Cb,nearest_initial,"2.12**2 * RBF(length_scale=[0.527, 2.02, 20, 4.1, 20, 17.9]) + WhiteKernel(noise_level=1.12e-07)"
232,T,nearest_initial,"2.48**2 * RBF(length_scale=[0.474, 2.45, 11.6, 3.66, 20, 20]) + WhiteKernel(noise_level=1.18e-07)"
232,Cb,nearest_target,"1.4**2 * RBF(length_scale=[0.507, 4.09, 20, 3.86, 20, 5.79]) + WhiteKernel(noise_level=8.84e-07)"
232,T,nearest_target,"2.21**2 * RBF(length_scale=[0.455, 4.79, 20, 2.95, 17.2, 7.44]) + WhiteKernel(noise_level=6.97e-06)"
232,Cb,nearest_transition,"1.59**2 * RBF(length_scale=[0.818, 2.14, 20, 9.55, 20, 7.94]) + WhiteKernel(noise_level=1.08e-05)"
232,T,nearest_transition,"2.6**2 * RBF(length_scale=[0.527, 2.72, 14.7, 5.76, 20, 8.04]) + WhiteKernel(noise_level=9.76e-06)"
234,Cb,recent,"1.78**2 * RBF(length_scale=[0.784, 1.77, 20, 2.86, 20, 7.16]) + WhiteKernel(noise_level=0.000109)"
234,T,recent,"2.55**2 * RBF(length_scale=[0.48, 2.78, 14.7, 1.87, 20, 12.7]) + WhiteKernel(noise_level=4.85e-06)"
234,Cb,random,"1.67**2 * RBF(length_scale=[0.509, 1.99, 20, 4.18, 20, 7.86]) + WhiteKernel(noise_level=1.23e-06)"
234,T,random,"2.36**2 * RBF(length_scale=[0.472, 2.5, 11, 2.87, 20, 8.92]) + WhiteKernel(noise_level=4.43e-06)"
234,Cb,nearest_initial,"1.95**2 * RBF(length_scale=[0.536, 1.62, 20, 4.63, 20, 15.9]) + WhiteKernel(noise_level=1.6e-06)"
234,T,nearest_initial,"2.62**2 * RBF(length_scale=[0.471, 2.46, 13.9, 6.5, 20, 20]) + WhiteKernel(noise_level=1.41e-06)"
234,Cb,nearest_target,"1.41**2 * RBF(length_scale=[0.508, 3.69, 20, 3.85, 20, 5.86]) + WhiteKernel(noise_level=8.34e-07)"
234,T,nearest_target,"2.25**2 * RBF(length_scale=[0.448, 4.66, 20, 3.23, 15.8, 7.46]) + WhiteKernel(noise_level=5.27e-06)"
234,Cb,nearest_transition,"1.52**2 * RBF(length_scale=[0.52, 1.74, 20, 4.23, 20, 8.02]) + WhiteKernel(noise_level=1.42e-06)"
234,T,nearest_transition,"1.95**2 * RBF(length_scale=[0.454, 2.11, 16.6, 4.91, 20, 11.6]) + WhiteKernel(noise_level=1.76e-06)"
250,Cb,recent,"1.88**2 * RBF(length_scale=[0.525, 2.01, 20, 3.52, 20, 8.29]) + WhiteKernel(noise_level=3.08e-06)"
