test_batch,output,history_size,learned_kernel
207,T,30,"1.82**2 * RBF(length_scale=[0.471, 2.5, 9.95, 2.76, 20, 6.9]) + WhiteKernel(noise_level=4.85e-06)"
229,Cb,1,"0.797**2 * RBF(length_scale=[0.481, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=1.24e-08)"
229,T,1,"0.882**2 * RBF(length_scale=[0.448, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=1.53e-05)"
229,Cb,3,"0.764**2 * RBF(length_scale=[0.46, 20, 20, 20, 1.4, 0.567]) + WhiteKernel(noise_level=1e-08)"
229,T,3,"0.815**2 * RBF(length_scale=[0.444, 20, 0.948, 3.96, 2.88, 0.227]) + WhiteKernel(noise_level=7.24e-05)"
229,Cb,5,"0.864**2 * RBF(length_scale=[0.481, 20, 20, 20, 0.667, 2.05]) + WhiteKernel(noise_level=1e-08)"
229,T,5,"1.5**2 * RBF(length_scale=[0.727, 20, 13.6, 1.47, 20, 2.73]) + WhiteKernel(noise_level=0.000787)"
229,Cb,7,"1.19**2 * RBF(length_scale=[0.501, 20, 5.76, 1.49, 20, 3.68]) + WhiteKernel(noise_level=1e-08)"
229,T,7,"1.34**2 * RBF(length_scale=[0.727, 2.58, 19.9, 2.06, 9.93, 2.44]) + WhiteKernel(noise_level=0.000557)"
229,Cb,9,"1.09**2 * RBF(length_scale=[0.796, 1.25, 20, 1.11, 20, 2.94]) + WhiteKernel(noise_level=0.000226)"
229,T,9,"1.37**2 * RBF(length_scale=[0.74, 2.06, 6.49, 2.7, 20, 2.58]) + WhiteKernel(noise_level=0.000466)"
229,Cb,12,"1.27**2 * RBF(length_scale=[0.812, 1.4, 20, 1.74, 20, 3.66]) + WhiteKernel(noise_level=0.000184)"
229,T,12,"2.11**2 * RBF(length_scale=[0.762, 2.76, 9.72, 2.95, 20, 5.91]) + WhiteKernel(noise_level=0.000467)"
229,Cb,15,"1.27**2 * RBF(length_scale=[0.795, 1.35, 20, 2.11, 20, 4.12]) + WhiteKernel(noise_level=0.000155)"
229,T,15,"2.26**2 * RBF(length_scale=[0.726, 2.85, 10.6, 2.9, 20, 6.51]) + WhiteKernel(noise_level=0.000431)"
229,Cb,20,"1.63**2 * RBF(length_scale=[0.791, 1.54, 20, 2.31, 20, 5.86]) + WhiteKernel(noise_level=0.000168)"
229,T,20,"2.03**2 * RBF(length_scale=[0.467, 2.82, 14.8, 1.94, 14.7, 7.83]) + WhiteKernel(noise_level=6.76e-06)"
229,Cb,30,"1.87**2 * RBF(length_scale=[0.767, 1.66, 20, 2.92, 20, 7.82]) + WhiteKernel(noise_level=0.000124)"
229,T,30,"2.82**2 * RBF(length_scale=[0.486, 3.02, 15.7, 1.91, 20, 13.4]) + WhiteKernel(noise_level=6.7e-06)"
232,Cb,1,"1.23**2 * RBF(length_scale=[1.03, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=6.88e-05)"
232,T,1,"2.47**2 * RBF(length_scale=[1.36, 0.996, 0.996, 0.996, 0.996, 0.996]) + WhiteKernel(noise_level=0.00191)"
232,Cb,3,"0.908**2 * RBF(length_scale=[1.37, 0.724, 1.05, 0.951, 1.06, 1.14]) + WhiteKernel(noise_level=2.9e-05)"
232,T,3,"1.05**2 * RBF(length_scale=[0.853, 14.6, 8.97, 1.17, 20, 0.221]) + WhiteKernel(noise_level=0.00028)"
232,Cb,5,"1.14**2 * RBF(length_scale=[0.828, 4.05, 20, 1.06, 20, 2.63]) + WhiteKernel(noise_level=0.000164)"
232,T,5,"1.23**2 * RBF(length_scale=[0.457, 12.8, 6.57, 1.6, 20, 2.49]) + WhiteKernel(noise_level=1.92e-06)"
232,Cb,7,"1.2**2 * RBF(length_scale=[0.841, 20, 3.87, 1.46, 20, 2.89]) + WhiteKernel(noise_level=0.000145)"
232,T,7,"1.35**2 * RBF(length_scale=[0.467, 4.33, 6.24, 1.86, 20, 3.25]) + WhiteKernel(noise_level=2.21e-06)"
232,Cb,9,"1.33**2 * RBF(length_scale=[0.853, 20, 4.71, 1.5, 20, 3.67]) + WhiteKernel(noise_level=0.000147)"
232,T,9,"2.19**2 * RBF(length_scale=[0.792, 7.28, 20, 1.6, 12.7, 5.64]) + WhiteKernel(noise_level=0.000641)"
232,Cb,12,"1.31**2 * RBF(length_scale=[0.827, 1.65, 20, 2.03, 20, 4.01]) + WhiteKernel(noise_level=0.000133)"
232,T,12,"1.8**2 * RBF(length_scale=[0.744, 2.68, 8.4, 2.82, 20, 3.73]) + WhiteKernel(noise_level=0.00045)"
232,Cb,15,"1.46**2 * RBF(length_scale=[0.828, 1.76, 20, 2.52, 20, 4.75]) + WhiteKernel(noise_level=0.000122)"
232,T,15,"2.21**2 * RBF(length_scale=[0.723, 2.83, 10.3, 3.14, 20, 6.3]) + WhiteKernel(noise_level=0.000392)"
232,Cb,20,"1.74**2 * RBF(length_scale=[0.774, 1.81, 20, 3.4, 20, 6.03]) + WhiteKernel(noise_level=0.000114)"
232,T,20,"1.88**2 * RBF(length_scale=[0.455, 2.57, 9.73, 2.89, 20, 7.49]) + WhiteKernel(noise_level=4.26e-06)"
232,Cb,30,"1.68**2 * RBF(length_scale=[0.79, 1.61, 20, 2.75, 20, 6.95]) + WhiteKernel(noise_level=0.000119)"
232,T,30,"2.24**2 * RBF(length_scale=[0.476, 2.71, 12.6, 2.42, 20, 7.43]) + WhiteKernel(noise_level=5.76e-06)"
234,Cb,1,"0.794**2 * RBF(length_scale=[0.955, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=7.24e-05)"
234,T,1,"1.03**2 * RBF(length_scale=[0.544, 1.01, 1.01, 1.01, 1.01, 1.01]) + WhiteKernel(noise_level=1e-08)"
234,Cb,3,"0.889**2 * RBF(length_scale=[1.02, 0.479, 12.9, 1.62, 8.11, 4.22]) + WhiteKernel(noise_level=8.58e-05)"
234,T,3,"1.17**2 * RBF(length_scale=[0.769, 0.646, 0.646, 0.664, 0.646, 0.646]) + WhiteKernel(noise_level=0.000126)"
234,Cb,5,"1.15**2 * RBF(length_scale=[1.19, 3.19, 20, 20, 11, 1.94]) + WhiteKernel(noise_level=4.35e-05)"
234,T,5,"1.32**2 * RBF(length_scale=[0.845, 4.67, 20, 20, 20, 0.302]) + WhiteKernel(noise_level=0.000127)"
234,Cb,7,"1.32**2 * RBF(length_scale=[0.835, 3.57, 20, 1.54, 20, 2.93]) + WhiteKernel(noise_level=0.000145)"
234,T,7,"2.05**2 * RBF(length_scale=[0.736, 6.6, 6.29, 2.88, 20, 2.12]) + WhiteKernel(noise_level=0.000731)"
234,Cb,9,"1.31**2 * RBF(length_scale=[0.839, 1.94, 20, 1.89, 20, 3.6]) + WhiteKernel(noise_level=0.000123)"
234,T,9,"2.29**2 * RBF(length_scale=[0.74, 20, 7.72, 2.01, 20, 3.86]) + WhiteKernel(noise_level=0.000644)"
234,Cb,12,"1.44**2 * RBF(length_scale=[0.83, 1.77, 20, 2.37, 20, 4.18]) + WhiteKernel(noise_level=0.00013)"
234,T,12,"2.01**2 * RBF(length_scale=[0.747, 13.6, 8.46, 1.98, 20, 2.9]) + WhiteKernel(noise_level=0.000462)"
234,Cb,15,"1.55**2 * RBF(length_scale=[0.825, 1.89, 20, 2.83, 20, 5.09]) + WhiteKernel(noise_level=0.000116)"
234,T,15,"2.45**2 * RBF(length_scale=[0.725, 3.06, 10.9, 3.52, 20, 7.09]) + WhiteKernel(noise_level=0.000384)"
234,Cb,20,"1.66**2 * RBF(length_scale=[0.8, 1.91, 20, 3.05, 20, 5.51]) + WhiteKernel(noise_level=0.000107)"
234,T,20,"2.18**2 * RBF(length_scale=[0.465, 3.09, 10.6, 2.96, 20, 8.6]) + WhiteKernel(noise_level=4.83e-06)"
234,Cb,30,"1.78**2 * RBF(length_scale=[0.784, 1.77, 20, 2.86, 20, 7.16]) + WhiteKernel(noise_level=0.000109)"
