output,history_size,metric,mean_baseline_9,mean_candidate,percent_change_vs_9,candidate_better_count,baseline_better_count,ties,wilcoxon_statistic,wilcoxon_p_value
T,3,hidden_mae,28.55704626798077,69.04634693170749,141.78392360250803,5,24,0,49.0,9.822472929954529e-05
T,3,final_posterior_std,51.31737884681559,100.4868103022587,95.8143860040393,4,25,0,26.0,3.982335329055786e-06
T,5,final_abs_error,50.09590552507648,94.0714664724669,87.7827448899543,11,18,0,99.0,0.009216241538524628
T,5,hidden_mae,28.55704626798077,48.901391351417935,71.2410691656441,11,18,0,116.0,0.027409173548221588
T,5,final_posterior_std,51.31737884681559,82.46779709852562,60.70149908609959,5,24,0,49.0,9.822472929954529e-05
T,7,final_abs_error,50.09590552507648,70.95622171296874,41.64076079521153,11,18,0,156.0,0.19012672826647758
T,7,hidden_mae,28.55704626798077,38.332696636399504,34.23200801890902,11,18,0,157.0,0.19762490689754486
T,7,final_posterior_std,51.31737884681559,64.43221720149026,25.556329355446962,9,20,0,87.0,0.0037983879446983337
T,12,final_abs_error,50.09590552507648,31.18189006621644,-37.755611482843165,22,7,0,79.0,0.0019781142473220825
T,12,hidden_mae,28.55704626798077,18.698117114459187,-34.52363056390668,21,8,0,95.0,0.006938289850950241
T,12,final_posterior_std,51.31737884681559,31.83018348584267,-37.97387122819147,26,3,0,26.0,3.982335329055786e-06
T,15,final_abs_error,50.09590552507648,27.83991695198863,-44.42676170799464,22,7,0,85.0,0.0032424964010715485
T,15,hidden_mae,28.55704626798077,16.206795819830717,-43.24764659571119,21,8,0,87.0,0.0037983879446983337
T,15,final_posterior_std,51.31737884681559,23.388984571427372,-54.42287759621469,28,1,0,2.0,1.1175870895385742e-08
T,20,final_abs_error,50.09590552507648,10.024673359911132,-79.98903651937565,26,3,0,10.0,1.601874828338623e-07
T,20,hidden_mae,28.55704626798077,7.1216791676591304,-75.06156939051422,24,5,0,27.0,4.697591066360474e-06
T,20,final_posterior_std,51.31737884681559,11.42779754378522,-77.7311355322772,29,0,0,0.0,3.725290298461914e-09
T,30,final_abs_error,50.09590552507648,2.7531946434928263,-94.50415235609493,28,1,0,2.0,1.1175870895385742e-08
T,30,hidden_mae,28.55704626798077,2.6802412127571547,-90.61443124192314,28,1,0,4.0,2.60770320892334e-08
T,30,final_posterior_std,51.31737884681559,5.1054820196450725,-90.05116369079344,29,0,0,0.0,3.725290298461914e-09
